transmittance,probability_density
2.103e-03,0.000e+00
6.308e-03,0.000e+00
1.051e-02,0.000e+00
1.472e-02,0.000e+00
1.892e-02,0.000e+00
2.313e-02,0.000e+00
2.733e-02,0.000e+00
3.154e-02,0.000e+00
3.575e-02,7.134e-03
3.995e-02,7.134e-03
4.416e-02,1.902e-02
4.836e-02,2.378e-02
5.257e-02,4.518e-02
5.677e-02,4.518e-02
6.098e-02,9.987e-02
6.518e-02,1.451e-01
6.939e-02,1.997e-01
7.359e-02,2.307e-01
7.780e-02,3.472e-01
8.200e-02,3.591e-01
8.621e-02,5.208e-01
9.041e-02,6.183e-01
9.462e-02,6.159e-01
9.882e-02,8.347e-01
1.030e-01,9.108e-01
1.072e-01,1.013e+00
1.114e-01,1.049e+00
1.156e-01,1.315e+00
1.199e-01,1.327e+00
1.241e-01,1.567e+00
1.283e-01,1.795e+00
1.325e-01,1.688e+00
1.367e-01,1.914e+00
1.409e-01,2.055e+00
1.451e-01,2.309e+00
1.493e-01,2.442e+00
1.535e-01,2.597e+00
1.577e-01,2.735e+00
1.619e-01,2.782e+00
1.661e-01,3.041e+00
1.703e-01,3.134e+00
1.745e-01,3.341e+00
1.787e-01,3.664e+00
1.829e-01,3.738e+00
1.871e-01,3.869e+00
1.913e-01,4.083e+00
1.955e-01,4.235e+00
1.998e-01,4.356e+00
2.040e-01,4.651e+00
2.082e-01,4.901e+00
2.124e-01,5.029e+00
2.166e-01,5.208e+00
2.208e-01,5.491e+00
2.250e-01,5.431e+00
2.292e-01,5.388e+00
2.334e-01,5.745e+00
2.376e-01,5.954e+00
2.418e-01,6.137e+00
2.460e-01,6.104e+00
2.502e-01,6.292e+00
2.544e-01,6.107e+00
2.586e-01,6.439e+00
2.628e-01,6.323e+00
2.670e-01,6.202e+00
2.712e-01,6.187e+00
2.754e-01,6.323e+00
2.797e-01,5.819e+00
2.839e-01,5.912e+00
2.881e-01,5.671e+00
2.923e-01,5.612e+00
2.965e-01,5.077e+00
3.007e-01,4.811e+00
3.049e-01,4.361e+00
3.091e-01,4.073e+00
3.133e-01,3.774e+00
3.175e-01,3.576e+00
3.217e-01,3.084e+00
3.259e-01,2.766e+00
3.301e-01,2.302e+00
3.343e-01,2.090e+00
3.385e-01,1.755e+00
3.427e-01,1.657e+00
3.469e-01,1.277e+00
3.511e-01,1.087e+00
3.553e-01,9.559e-01
3.596e-01,7.705e-01
3.638e-01,6.278e-01
3.680e-01,4.447e-01
3.722e-01,3.044e-01
3.764e-01,2.640e-01
3.806e-01,1.783e-01
3.848e-01,1.332e-01
3.890e-01,1.427e-01
3.932e-01,9.036e-02
3.974e-01,5.231e-02
4.016e-01,3.805e-02
4.058e-01,4.043e-02
4.100e-01,1.665e-02
4.142e-01,1.427e-02
4.184e-01,9.512e-03
4.226e-01,4.756e-03
4.268e-01,0.000e+00
4.310e-01,0.000e+00
4.352e-01,4.756e-03
4.395e-01,0.000e+00
4.437e-01,2.378e-03
4.479e-01,0.000e+00
4.521e-01,2.378e-03
4.563e-01,0.000e+00
4.605e-01,0.000e+00
4.647e-01,0.000e+00
4.689e-01,0.000e+00
4.731e-01,0.000e+00
4.773e-01,0.000e+00
4.815e-01,0.000e+00
4.857e-01,0.000e+00
4.899e-01,0.000e+00
4.941e-01,0.000e+00
4.983e-01,0.000e+00
5.025e-01,0.000e+00
5.067e-01,0.000e+00
5.109e-01,0.000e+00
5.151e-01,0.000e+00
5.194e-01,0.000e+00
5.236e-01,0.000e+00
5.278e-01,0.000e+00
5.320e-01,0.000e+00
5.362e-01,0.000e+00
5.404e-01,0.000e+00
5.446e-01,0.000e+00
5.488e-01,0.000e+00
5.530e-01,0.000e+00
5.572e-01,0.000e+00
5.614e-01,0.000e+00
5.656e-01,0.000e+00
5.698e-01,0.000e+00
5.740e-01,0.000e+00
5.782e-01,0.000e+00
5.824e-01,0.000e+00
5.866e-01,0.000e+00
5.908e-01,0.000e+00
5.950e-01,0.000e+00
5.993e-01,0.000e+00
6.035e-01,0.000e+00
6.077e-01,0.000e+00
6.119e-01,0.000e+00
6.161e-01,0.000e+00
6.203e-01,0.000e+00
6.245e-01,0.000e+00
6.287e-01,0.000e+00
6.329e-01,0.000e+00
6.371e-01,0.000e+00
6.413e-01,0.000e+00
6.455e-01,0.000e+00
6.497e-01,0.000e+00
6.539e-01,0.000e+00
6.581e-01,0.000e+00
6.623e-01,0.000e+00
6.665e-01,0.000e+00
6.707e-01,0.000e+00
6.750e-01,0.000e+00
6.792e-01,0.000e+00
6.834e-01,0.000e+00
6.876e-01,0.000e+00
6.918e-01,0.000e+00
6.960e-01,0.000e+00
7.002e-01,0.000e+00
7.044e-01,0.000e+00
7.086e-01,0.000e+00
7.128e-01,0.000e+00
7.170e-01,0.000e+00
7.212e-01,0.000e+00
7.254e-01,0.000e+00
7.296e-01,0.000e+00
7.338e-01,0.000e+00
7.380e-01,0.000e+00
7.422e-01,0.000e+00
7.464e-01,0.000e+00
7.506e-01,0.000e+00
7.549e-01,0.000e+00
7.591e-01,0.000e+00
7.633e-01,0.000e+00
7.675e-01,0.000e+00
7.717e-01,0.000e+00
7.759e-01,0.000e+00
7.801e-01,0.000e+00
7.843e-01,0.000e+00
7.885e-01,0.000e+00
7.927e-01,0.000e+00
7.969e-01,0.000e+00
8.011e-01,0.000e+00
8.053e-01,0.000e+00
8.095e-01,0.000e+00
8.137e-01,0.000e+00
8.179e-01,0.000e+00
8.221e-01,0.000e+00
8.263e-01,0.000e+00
8.305e-01,0.000e+00
8.348e-01,0.000e+00
8.390e-01,0.000e+00
